,X1,DistrictNCES,FIPS,NAME,NMCBSA,CBSA,CSA,COUNTY,STATE,ST_ABBR,ses_EP_POV,ses_EP_UNEMP,ses_EP_PCI,ses_EP_NOHSDP,ses_EP_UNINSUR,ms_EP_MINRTY,ms_EP_LIMENG,hh_EP_AGE17,hh_EP_DISABL,hh_EP_SNGPNT,hh_EP_MUNIT,hh_EP_MOBILE,hh_EP_CROWD,hh_EP_NOVEH,hh_EP_GROUPQ,hh_EP_PLUMB,pm_EP_AGE65,hc_icu_capita,hc_hosp_beds_capita,hc_pqi,hc_emer_services_capita,hc_epi_capita,hc_health_labs_capita,hc_spend_capita,hc_PHEP_capita,hr_incarcerated_per_100k,hr_all_care_residents_per_100k,hr_high_risk_employees_per_100k,pd_population_density,V3_THEME1,V3_THEME2,V3_THEME3,V3_THEME4,V3_THEME5,V3_THEME6,V3_THEME7,V3_CCVI,SchoolYear,DistrictID,DistrictName,Control,PhysicalCity,PhysicalState,Enrollment,OpenDate,TeachingMethod,SportsParticipation,OnlineInstructionIncrease,NetworkInvestment,HardwareInvestment,StaffMaskPolicy,StudentMaskPolicy,StudentIllnessReturnPolicy,StudentIsolationArea,SchoolTemporaryShutdown,ParentOptOutClassroomTeaching,LastVerifiedDate,school_inperson,total,status_county
189,287,1301260,13065,Clinch County,N,N,N,Clinch,GEORGIA,GA,39.2,6.6,16538,29.2,21.2,34.6,1,26.8,15.3,13.1,0.3,38,3.9,8.5,7,2.995699244,15.2,0,362.7920476,7409,2.641606942,86,0.009418481,13174,1.5474,815.6606852,1156.755153,3307.133323,8.273666678,0.958293537,0.701687361,0.989175422,0.493473416,0.961158867,0.896848138,0.160458453,0.948742439,2020-2021,900140,Clinch County School District,Public,Homerville,GA,1363,2020-08-10,Online Only,Yes,Yes,Yes,Yes,Not required,Not required,Unknown,No,Never closed,Yes,1/7/2021,0,0,0
190,288,1301290,13067,Cobb County,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,Cobb,GEORGIA,GA,10,5,38268,8.2,13,47.5,3.9,24.2,8.5,9.4,16,1.3,1.9,3.7,1.3,0.323196749,11.4,16.10127295,148.5708275,4478,2.641606942,86,0.009418481,13174,1.5474,622.9053616,293.1319349,2673.755162,2192.917357,0.497293855,0.921680993,0.191340337,0.129894938,0.926774912,0.275708373,0.981216173,0.619229545,2020-2021,900316,Cobb County School District,Public,Marietta,GA,116419,2020-08-17,Online Only,Yes,Unknown,Pending,Pending,Not required,Required for all students,Yes,Unknown,Never closed,Yes,12/29/2020,0,2,1
191,289,1301350,13069,Coffee County,"Douglas, GA",20060,N,Coffee,GEORGIA,GA,22.3,4.6,19709,22.6,19.2,41.7,2.3,24.6,18.9,11.5,1.2,34.7,2,9.4,9.2,2.032075603,13.3,23.22988292,201.027984,6056,2.641606942,86,0.009418481,13174,1.5474,1147.552431,272.3400293,6687.46072,72.53282656,0.790512576,0.861509074,0.981534543,0.197389366,0.953836358,0.76249602,0.640560331,0.953836358,2020-2021,900165,Coffee County School District,Public,Douglas,GA,8294,2020-08-17,Hybrid,Yes,Unknown,Yes,Yes,Not required,Not required,Yes,Yes,Never closed,Yes,10/20/2020,1,1,1
192,290,1301380,13071,Colquitt County,"Moultrie, GA",34220,N,Colquitt,GEORGIA,GA,25.2,6.8,19173,26.2,23.6,43.8,7.2,26.4,14.3,12.1,2.7,31.7,3.4,9.4,1.7,1.716879358,14.7,21.79123992,340.7301978,6108,2.641606942,86,0.009418481,13174,1.5474,1401.13143,714.8182257,4424.856379,83.37123255,0.958930277,0.936962751,0.958930277,0.316141356,0.919134034,0.926456543,0.677172875,0.992677491,2020-2021,900132,Colquitt County Schools,Public,Moultrie,GA,9961,2020-08-17,Hybrid,Unknown,Yes,Yes,Unknown,Not required,Not required,Unknown,Unknown,Never closed,Yes,10/28/2020,1,1,1
193,291,1301410,13073,Columbia County,"Augusta-Richmond County, GA-SC",12260,N,Columbia,GEORGIA,GA,8.8,5.2,32509,7.4,8,30.5,1.5,25.7,11.5,8.1,4.2,6.3,0.9,2.4,0.3,0.592009233,12.7,0,0,3924,2.641606942,86,0.009418481,13174,1.5474,487.4571438,341.4915645,2757.052174,507.7810492,0.273798153,0.747532633,0.066857689,0.131805158,0.936644381,0.230499841,0.917542184,0.419611589,2020-2021,900210,Columbia County School System,Public,Evans,GA,27725,2020-08-05,Hybrid,Unknown,Unknown,Yes,Yes,Not required,Required for middle/high school students only,Yes,Yes,Never closed,Yes,12/28/2020,1,2,1
194,292,1301440,13157,Commerce City,"Jefferson, GA",27600,122,Jackson,GEORGIA,GA,11,4.8,27115,16.3,12,18,1.9,25.5,13.6,7.9,1.5,15.2,1.5,4.6,1.1,1.180138393,14.4,0,132.9708646,4843,2.641606942,86,0.009418481,13174,1.5474,804.5015588,419.7399437,7710.440271,193.5871455,0.542502388,0.678446355,0.276345113,0.329831264,0.961477237,0.768863419,0.82298631,0.761222541,2020-2021,900243,Commerce City Schools,Public,Commerce,GA,1673,2020-08-07,Hybrid,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,10/29/2020,1,3,1
195,293,1301470,13075,Cook County,N,N,N,Cook,GEORGIA,GA,24,5.2,19778,20.1,18,35.1,1.1,25.9,18.1,10,0.6,33.1,2.1,8.3,0.9,2.019320298,15.5,0,336.9083048,5426,2.641606942,86,0.009418481,13174,1.5474,1204.608939,541.2011173,3142.458101,75.27662158,0.815982171,0.722063037,0.82171283,0.535179879,0.933779051,0.723018147,0.64947469,0.956064947,2020-2021,900139,Cook County School District,Public,Adel,GA,3076,2020-08-08,Hybrid,Yes,Yes,Unknown,Yes,Not required,Required for all students,Yes,Yes,Never closed,Yes,1/27/2021,1,1,1
196,294,1301500,13077,Coweta County,"Atlanta-Sandy Springs-Alpharetta, GA",12060,122,Coweta,GEORGIA,GA,11.1,4.7,32542,11.2,10.4,28.6,1.8,25.1,10.7,8.9,6.5,3.5,1.6,4.3,0.4,0.271855162,13.2,13.76661957,162.8630777,4239,2.641606942,86,0.009418481,13174,1.5474,839.76202,125.964303,4325.486066,318.6796888,0.484240688,0.757720471,0.127666348,0.23814072,0.900350207,0.517669532,0.876790831,0.613180516,2020-2021,900276,Coweta County School System,Public,Newnan,GA,24301,2020-09-04,Online Only,Unknown,Unknown,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,Yes,12/28/2020,0,1,1
197,295,1301530,13079,Crawford County,"Macon-Bibb County, GA",31420,356,Crawford,GEORGIA,GA,19.7,9.6,21102,16.5,13.5,26.5,0,21.2,17.3,8.1,0.4,40.1,2.6,6,1.4,1.093648736,17.7,0,0,5636,2.641606942,86,0.009418481,13174,1.5474,307.8418665,550.874919,1126.053143,37.99167078,0.874880611,0.305635148,0.484240688,0.546004457,0.945558739,0.104743712,0.452722063,0.553645336,2020-2021,900173,Crawford County School District,Public,Roberta,GA,1728,2020-08-17,Hybrid,Yes,Yes,Yes,Yes,Required for all staff,Required for all students,Yes,Yes,Never closed,No,1/11/2021,1,1,1
198,296,1301560,13081,Crisp County,"Cordele, GA",18380,N,Crisp,GEORGIA,GA,30.8,12.2,21581,19.9,16.8,49.8,0.7,24.9,17.9,13.1,3.1,23.2,2.9,12.5,1.8,2.849514138,17.6,69.5500978,320.0631357,8245,2.641606942,86,0.009418481,13174,1.5474,2004.727305,240.7423619,3287.227523,83.78902669,0.990130532,0.716014008,0.989493792,0.577204712,0.867558103,0.606494747,0.678764725,0.980579433,2020-2021,900221,Crisp County School District,Public,Cordele,GA,3700,2020-10-08,Hybrid,Yes,Unknown,Unknown,Unknown,Unknown,Pending,Pending,Pending,Pending,Yes,1/15/2021,1,1,1
